branch_id,date,inflow,outflow,balance
BR01,2024-01-01,269868.56612044934,211945.07876513735,557923.487355312
BR01,2024-01-02,244469.42795315263,240084.16168146874,562308.7536269958
BR01,2024-01-03,275907.5415240277,230566.65803518076,607649.6371158428
BR01,2024-01-04,310921.194256321,234395.42443469743,684175.4069374664
BR01,2024-01-05,240633.86501106655,195214.559726504,729594.712222029
BR01,2024-01-06,240634.52172203278,231102.95784165242,739126.2761024092
BR01,2024-01-07,313168.51262029563,252409.92310604523,799884.8656166596
BR01,2024-01-08,280697.38916611637,295301.4623507769,785280.7924319992
BR01,2024-01-09,231221.02456260193,273167.1871738343,743334.6298207669
BR01,2024-01-10,271702.40174343856,326893.21058802004,688143.8209761854
BR01,2024-01-11,231463.2922875015,195469.35967003778,724137.753593649
BR01,2024-01-12,231370.8098571897,269254.42865243054,686254.1347984083
BR01,2024-01-13,259678.49086264137,238250.39025822582,707682.2354028238
BR01,2024-01-14,173468.7902136881,328541.1319947953,552609.8936217166
BR01,2024-01-15,181003.2866994787,193626.5771590182,539986.6031621771
BR01,2024-01-16,227508.4988303611,192212.5171018651,575282.584890673
BR01,2024-01-17,209486.75518662305,203027.330955019,581742.0091222771
BR01,2024-01-18,262569.89330381097,134424.6924060587,709887.2100200295
BR01,2024-01-19,213679.03697915157,206341.02402436576,717225.2229748152
BR01,2024-01-20,193507.85194658834,195839.0302300836,714894.04469132
BR01,2024-01-21,308625.9507568622,236767.72039142935,786752.2750567528
BR01,2024-01-22,240968.94798053856,245379.01890997216,782342.2041273193
BR01,2024-01-23,252701.12818751697,314427.6877647149,720615.6445501214
BR01,2024-01-24,193010.07255146172,272769.0727183723,640856.6443832108
BR01,2024-01-25,228224.6910189927,204039.33549519186,665041.9999070116
BR01,2024-01-26,254436.90358839463,189571.3397893239,729907.5637060824
BR01,2024-01-27,203960.2569031079,252136.36271779274,681731.4578913975
BR01,2024-01-28,265027.9207338269,170589.5056840711,776169.8729411534
BR01,2024-01-29,225974.4524032478,312415.64446344593,689728.6808809552
BR01,2024-01-30,238332.25000826892,283074.80543245794,644986.1254567661
BR01,2024-01-31,225931.73551082413,208887.09565528829,662030.7653123019
BR01,2024-02-01,324091.12738035753,152908.94619091053,833212.946501749
BR01,2024-02-02,249460.11101048265,290924.25683744357,791748.8006747881
BR01,2024-02-03,207691.56284176398,224845.7069636322,774594.6565529199
BR01,2024-02-04,282901.7964841276,285701.73403880576,771794.7189982417
BR01,2024-02-05,201166.2540011591,158250.75535425346,814710.2176451473
BR01,2024-02-06,258354.5438001902,203028.12396708023,870036.6374782573
BR01,2024-02-07,171613.19504480896,230235.96648731825,811413.866035748
BR01,2024-02-08,196872.55804406278,232114.12671941338,776172.2973603974
BR01,2024-02-09,257874.44943476495,209747.05378343404,824299.6930117283
BR01,2024-02-10,279538.6631998164,258028.24695563744,845810.1092559074
BR01,2024-02-11,256854.73124759883,181957.08067778326,920707.7598257229
BR01,2024-02-12,245374.06870447038,223592.9231740418,942488.9053561515
BR01,2024-02-13,237955.85217642845,235413.30342703545,945031.4541055445
BR01,2024-02-14,190859.1203853029,253149.7475326437,882740.8269582037
BR01,2024-02-15,221206.23166421166,262022.66951400004,841924.3891084153
BR01,2024-02-16,231574.4491616085,179391.10586729588,894107.7324027279
BR01,2024-02-17,292284.8890487566,160964.862316897,1025427.7591345876
BR01,2024-02-18,263744.73158273846,287495.4569854329,1001677.0337318932
BR01,2024-02-19,179478.39378549065,244954.1305390816,936201.2969783022
